Anno,Relazione 1,Source,Relazione 2,Target
1965,Mina,130,Studio Uno,814
1965,Rita Pavone,166,Gian Burrasca,447
1965,Los Indios Tabajaras,108,Voglio amarti così,893
1965,Bobby Solo,27,Il secondo LP di Bobby Solo,505
1965,Ornella Vanoni,145,Caldo,296
1965,Milva,129,Canti della libertà,305
1965,Adriano Celentano,5,Non mi dir,681
1965,Coro del CAI di Padova,37,I Canti della Grande Guerra,470
1965,Ricky Gianco,165,Ai miei amici di Ciao Amici,227
1965,The Rokes,193,The Rokes (LP),834
1965,Luigi Tenco,116,Luigi Tenco (LP),617
1965,Pino Donaggio,154,Pino Donaggio (LP),721
1965,Edoardo Vianello,47,Edoardo Vianello allo Studio A,412
1965,Equipe 84,53,Equipe 84 (LP),419
1965,Nico Fidenco,138,Musica per innamorati,661
1965,Gino Paoli,79,Gino Paoli allo Studio A,454
1965,Dino,42,Dino (LP),386
1965,Luciano Tajoli,113,Nozze d'argento con la canzone,689
1965,Bruno Lauzi,28,Ti ruberò,839
1965,Don Backy,44,L'amore,546
1965,Ri-Fi,975,Studio Uno,814
1965,RCA,974,Gian Burrasca,447
1965,RCA,974,Voglio amarti così,893
1965,Ricordi,976,Il secondo LP di Bobby Solo,505
1965,Ricordi,976,Caldo,296
1965,Fonit Cetra,947,Canti della libertà,305
1965,Clan Celentano,932,Non mi dir,681
1965,Durium,940,I Canti della Grande Guerra,470
1965,Jaguar,956,Ai miei amici di Ciao Amici,227
1965,ARC,906,The Rokes (LP),834
1965,Jolly,957,Luigi Tenco (LP),617
1965,Columbia,933,Pino Donaggio (LP),721
1965,RCA,974,Edoardo Vianello allo Studio A,412
1965,Vedette,986,Equipe 84 (LP),419
1965,RCA,974,Musica per innamorati,661
1965,RCA,974,Gino Paoli allo Studio A,454
1965,ARC,906,Dino (LP),386
1965,Jolly,957,Nozze d'argento con la canzone,689
1965,CGD,926,Ti ruberò,839
1965,Clan Celentano,932,L'amore,546
1965,Studi RCA Roma,1150,Gian Burrasca,447
1965,Studi RCA Roma,1150,Voglio amarti così,893
1965,Studi RCA Roma,1150,The Rokes (LP),834
1965,Studi RCA Roma,1150,Edoardo Vianello allo Studio A,412
1965,Studi Vedette Milano,1153,Equipe 84 (LP),419
1965,Studi RCA Roma,1150,Musica per innamorati,661
1965,Studi RCA Roma,1150,Gino Paoli allo Studio A,454
1965,Studi RCA Roma,1150,Dino (LP),386
1965,Fonorama Milano,1056,Nozze d'argento con la canzone,689
1965,Wladimiro Albera,1421,Studio Uno,814
1965,Ferruccio Ricordi,1272,Gian Burrasca,447
1965,Vincenzo Micocci,1416,Il secondo LP di Bobby Solo,505
1965,Ezio Leoni,1476,Luigi Tenco (LP),617
1965,Ferruccio Ricordi,1272,Dino (LP),386
1965,Carlo Alberto Rossi,1229,Nozze d'argento con la canzone,689
1965,Nanni Ricordi,1349,Luigi Tenco (LP),617
1965,Augusto Martelli,1437,Studio Uno,814
1965,Luis Bacalov,1526,Gian Burrasca,447
1965,Gianni Marchetti,1499,Il secondo LP di Bobby Solo,505
1965,Iller Pattacini,1517,Caldo,296
1965,Gino Negri,1503,Canti della libertà,305
1965,Detto Mariano,1463,Non mi dir,681
1965,Alberto Baldan Bembo,1425,Luigi Tenco (LP),617
1965,Ennio Morricone,1466,Dino (LP),386
1965,Enzo Ceragioli,1473,Ti ruberò,839
1965,Detto Mariano,1463,L'amore,546
1965,Pietro Gosio,1571,Studio Uno,814
1965,Giulio Libano,1509,Luigi Tenco (LP),617
1965,Angel Pocho Gatti,1430,Ti ruberò,839
1965,Giampiero Boneschi,1490,Luigi Tenco (LP),617
1965,Gian Franco Reverberi,1491,Ti ruberò,839
1965,Enrico Simonetti,1472,Ti ruberò,839
1965,Severino Pecchenini,1984,Equipe 84 (LP),419
1965,Danilo Morri,1692,Nozze d'argento con la canzone,689
1965,Gianni Dall'Aglio,2149,Non mi dir,681
1965,Jean Claude Bischara,2356,Non mi dir,681
1965,Giorgio Benacchio,2537,Non mi dir,681
1965,Natale Massara,3153,Non mi dir,681
1965,Nora Orlandi,63,Caldo,296
1966,Gianni Morandi,76,Gianni Tre,452
1966,RCA,974,Gianni Tre,452
1966,Studi RCA Roma,1150,Gianni Tre,452
1966,Franco Migliacci,1280,Gianni Tre,452
1966,Ennio Morricone,1466,Gianni Tre,452
1966,I Cantori Moderni di Alessandroni,3306,Gianni Tre,452
1966,Mina,130,Studio Uno 66,815
1966,Ri-Fi,975,Studio Uno 66,815
1966,Wladimiro Albera,1421,Studio Uno 66,815
1966,Augusto Martelli,1437,Studio Uno 66,815
1966,Carlo Pes,1444,Studio Uno 66,815
1966,Piero Piccioni,1569,Studio Uno 66,815
