Id,Label,nome,ruolo
1,883,883,performer
2,99 Posse,99 Posse,performer
3,Adamo,Adamo,performer
5,Adriano Celentano,Adriano Celentano,performer
6,Al Bano,Al Bano,performer
7,Alan Sorrenti,Alan Sorrenti,performer
8,Alberto Camerini,Alberto Camerini,performer
9,Alberto Fortis,Alberto Fortis,performer
10,Alberto Radius,Alberto Radius,performer
11,Aleandro Baldi,Aleandro Baldi,performer
12,Alice,Alice,performer
13,Almamegretta,Almamegretta,performer
14,Alunni del Sole,Alunni del Sole,performer
15,Ambra,Ambra,performer
16,Amedeo Minghi,Amedeo Minghi,performer
17,Andrea Bocelli,Andrea Bocelli,performer
18,Angelo Branduardi,Angelo Branduardi,performer
19,Anna Identici,Anna Identici,performer
20,Anna Oxa,Anna Oxa,performer
21,Antoine,Antoine,performer
22,Antonello Venditti,Antonello Venditti,performer
23,Articolo 31,Articolo 31,performer
24,Audio 2,Audio 2,performer
25,Banco del Mutuo Soccorso,Banco del Mutuo Soccorso,performer
26,Biagio Antonacci,Biagio Antonacci,performer
27,Bobby Solo,Bobby Solo,performer
28,Bruno Lauzi,Bruno Lauzi,performer
29,C.S.I.,C.S.I.,performer
30,Carmen Consoli,Carmen Consoli,performer
31,Carmen Villani,Carmen Villani,performer
32,Caterina Caselli,Caterina Caselli,performer
33,Charles Aznavour,Charles Aznavour,performer
34,Chikano,Chikano,performer
35,Claudio Baglioni,Claudio Baglioni,performer
36,Cochi e Renato,Cochi e Renato,performer
37,Coro del CAI di Padova,Coro del CAI di Padova,performer
38,Dalida,Dalida,performer
39,Dario Baldan Bembo,Dario Baldan Bembo,performer
40,Delirium,Delirium,performer
41,Dik Dik,Dik Dik,performer
42,Dino,Dino,performer
43,Domenico Modugno,Domenico Modugno,performer
44,Don Backy,Don Backy,performer
45,Drupi,Drupi,performer
46,Edoardo Bennato,Edoardo Bennato,performer
47,Edoardo Vianello,Edoardo Vianello,performer
48,Elio e le Storie Tese,Elio e le Storie Tese,performer
49,Ennio Morricone,Ennio Morricone,performer
50,Enrico Ruggeri,Enrico Ruggeri,performer
51,Enzo Avitabile,Enzo Avitabile,performer
52,Enzo Jannacci,Enzo Jannacci,performer
53,Equipe 84,Equipe 84,performer
54,Eros Ramazzotti,Eros Ramazzotti,performer
55,Eugenio Finardi,Eugenio Finardi,performer
56,F.lli La Bionda,F.lli La Bionda,performer
57,Fabio Concato,Fabio Concato,performer
58,Fabrizio De André,Fabrizio De André,performer
59,Fausto Papetti,Fausto Papetti,performer
60,Fiorella Mannoia,Fiorella Mannoia,performer
61,Fiorello,Fiorello,performer
62,Formula 3,Formula 3,performer
63,Francesco Baccini,Francesco Baccini,performer
64,Francesco De Gregori,Francesco De Gregori,performer
65,Francesco Guccini,Francesco Guccini,performer
66,Francesco Salvi,Francesco Salvi,performer
67,Franco Battiato,Franco Battiato,performer
68,Frankie Hi-Nrg,Frankie Hi-Nrg,performer
69,Fred Bongusto,Fred Bongusto,performer
70,Gabriella Ferri,Gabriella Ferri,performer
71,Georges Moustaki,Georges Moustaki,performer
72,Gerardina Trovato,Gerardina Trovato,performer
73,Gianluca Grignani,Gianluca Grignani,performer
74,Gianna Nannini,Gianna Nannini,performer
75,Gianni Bella,Gianni Bella,performer
76,Gianni Morandi,Gianni Morandi,performer
77,Gianni Togni,Gianni Togni,performer
78,Gigliola Cinquetti,Gigliola Cinquetti,performer
79,Gino Paoli,Gino Paoli,performer
80,Giorgia,Giorgia,performer
81,Giorgio Gaber,Giorgio Gaber,performer
82,Giuseppe Ungaretti,Giuseppe Ungaretti,performer
83,Goblin,Goblin,performer
84,Guido e Maurizio De Angelis,Guido e Maurizio De Angelis,performer
85,Herbert Pagani,Herbert Pagani,performer
86,I Camaleonti,I Camaleonti,performer
87,I Corvi,I Corvi,performer
88,I Giganti,I Giganti,performer
89,I Nuovi Angeli,I Nuovi Angeli,performer
90,I Ragazzi del Sole,I Ragazzi del Sole,performer
91,Il Guardiano del Faro,Il Guardiano del Faro,performer
92,Il Rovescio della Medaglia,Il Rovescio della Medaglia,performer
93,Inti Illimani,Inti Illimani,performer
94,Irene Grandi,Irene Grandi,performer
95,Iva Zanicchi,Iva Zanicchi,performer
96,Ivan Cattaneo,Ivan Cattaneo,performer
97,Ivan Graziani,Ivan Graziani,performer
98,Ivano Fossati,Ivano Fossati,performer
99,Jovanotti,Jovanotti,performer
100,Julio Iglesias,Julio Iglesias,performer
101,L'Orchestra Italiana,L'Orchestra Italiana,performer
102,Ladri di biciclette,Ladri di biciclette,performer
103,Laura Pausini,Laura Pausini,performer
104,Ligabue,Ligabue,performer
105,Litfiba,Litfiba,performer
106,Little Tony,Little Tony,performer
107,Loredana Berté,Loredana Berté,performer
108,Los Indios Tabajaras,Los Indios Tabajaras,performer
109,Luca Barbarossa,Luca Barbarossa,performer
110,Luca Carboni,Luca Carboni,performer
112,Luciano Rossi,Luciano Rossi,performer
113,Luciano Tajoli,Luciano Tajoli,performer
114,Lucio Battisti,Lucio Battisti,performer
115,Lucio Dalla,Lucio Dalla,performer
